Year,Polygon,Polygon_type,Transect,num_groups,num_winter_groups,num_summer_groups,Unknown_groups,Date
2017,2015-F9,Treated,1,0,0,0,0,6/16/17
2017,2015-F18,Treated,2,0,0,0,0,6/16/17
2017,2015-F3,Treated,3,0,0,0,0,6/1/17
2017,2015-F4,Treated,4,0,0,0,0,6/16/17
2017,2015-F5,Treated,5,0,0,0,0,6/16/17
2017,2015-F7,Treated,6,0,0,0,0,6/13/17
2017,2015-F10,Treated,7,0,0,0,0,6/13/17
2017,2015-F12,Treated,8,0,0,0,0,6/9/17
2017,2015-S3,Treated,9,1,1,0,0,6/15/17
2017,2015-F9,Treated,14,0,0,0,0,6/16/17
2017,2015-F18,Treated,15,0,0,0,0,6/16/17
2017,2015-F3,Treated,16,0,0,0,0,6/1/17
2017,2015-F4,Treated,17,0,0,0,0,6/16/17
2017,2015-F5,Treated,18,0,0,0,0,6/16/17
2017,2015-F7,Treated,19,2,2,0,0,6/1/17
2017,2015-F20,Treated,20,0,0,0,0,6/13/17
2017,2015-F12,Treated,21,0,0,0,0,6/9/17
2017,2015-S3,Treated,22,1,1,0,0,6/8/17
2018,2015-F9,Treated,1,0,0,0,0,6/5/18
2018,2015-F18,Treated,2,0,0,0,0,6/5/18
2018,2015-F3,Treated,3,0,0,0,0,5/10/18
2018,2015-F4,Treated,4,0,0,0,0,5/10/18
2018,2015-F5,Treated,5,3,3,0,0,5/10/18
2018,2015-F7,Treated,6,1,1,0,0,5/11/18
2018,2015-F10,Treated,7,0,0,0,0,5/11/18
2018,2015-F12,Treated,8,0,0,0,0,6/7/18
2018,2015-S3,Treated,9,0,0,0,0,5/10/18
2018,2015-F9,Treated,10,0,0,0,0,6/5/18
2018,2015-F18,Treated,11,0,0,0,0,6/5/18
2018,2015-F3,Treated,12,1,1,0,0,5/10/18
2018,2015-F7,Treated,13,1,1,0,0,5/11/18
2018,2015-F9,Treated,14,0,0,0,0,6/5/18
2018,2015-F18,Treated,15,0,0,0,0,6/5/18
2018,2015-F3,Treated,16,0,0,0,0,5/10/18
2018,2015-F4,Treated,17,1,0,1,0,5/10/18
