"dat","dist"
"26","distA"
"22","distA"
"21","distA"
"21","distA"
"24","distA"
"26","distA"
"22","distA"
"29","distA"
"22","distA"
"27","distA"
"26","distA"
"26","distA"
"29","distA"
"28","distA"
"23","distA"
"20","distA"
"32","distA"
"24","distA"
"35","distA"
"24","distA"
"35","distA"
"23","distA"
"25","distA"
"28","distA"
"19","distA"
"16","distA"
"23","distA"
"35","distA"
"19","distA"
"29","distA"
"23","distA"
"18","distA"
"26","distA"
"21","distA"
"21","distA"
"30","distA"
"24","distA"
"26","distA"
"33","distA"
"27","distA"
"23","distA"
"27","distA"
"21","distA"
"29","distA"
"21","distA"
"28","distA"
"25","distA"
"29","distA"
"18","distA"
"26","distA"
"38","distA"
"34","distA"
"20","distA"
"22","distA"
"20","distA"
"29","distA"
"31","distA"
"25","distA"
"25","distA"
"24","distA"
"25","distA"
"35","distA"
"23","distA"
"24","distA"
"26","distA"
"29","distA"
"25","distA"
"37","distA"
"13","distA"
"27","distA"
"22","distA"
"23","distA"
"22","distA"
"21","distA"
"24","distA"
"20","distA"
"32","distA"
"20","distA"
"33","distA"
"27","distA"
"31","distA"
"29","distA"
"31","distA"
"38","distA"
"26","distA"
"26","distA"
"28","distA"
"24","distA"
"25","distA"
"24","distA"
"17","distA"
"19","distA"
"27","distA"
"14","distA"
"22","distA"
"25","distA"
"24","distA"
"19","distA"
"24","distA"
"25","distA"
"3.35000543045179","distB"
"3.52416725739863","distB"
"3.71802843067459","distB"
"7.01807247592106","distB"
"2.53262119902318","distB"
"3.71223539005454","distB"
"0.596222820198363","distB"
"2.17686376460187","distB"
"3.08288414466303","distB"
"7.36090403780024","distB"
"3.60917047002576","distB"
"0.929010876894018","distB"
"3.97888619000002","distB"
"2.68989436522016","distB"
"5.32057819544366","distB"
"1.81269286114897","distB"
"2.18987777869624","distB"
"1.72394190977964","distB"
"1.05291931545816","distB"
"3.15240019007886","distB"
"8.43266945540344","distB"
"2.77060078104847","distB"
"3.40809017305034","distB"
"2.98201031708766","distB"
"2.3281405064424","distB"
"5.35740509130979","distB"
"1.86288248277173","distB"
"2.9178201896173","distB"
"3.22475112569101","distB"
"5.85649090500502","distB"
"5.42808265932312","distB"
"1.20209002140893","distB"
"1.55807520105742","distB"
"3.41568796234217","distB"
"9.59955648355229","distB"
"2.19653795249036","distB"
"2.06507326762283","distB"
"1.99418342138543","distB"
"1.59033536162042","distB"
"1.46493878214655","distB"
"6.7615469739381","distB"
"3.85990938438399","distB"
"2.21790622269643","distB"
"0.882618455102314","distB"
"1.89061119862898","distB"
"3.1920409567243","distB"
"1.45517665630215","distB"
"3.31695663475191","distB"
"1.38224845535957","distB"
"1.99182438077951","distB"
"3.09686028030598","distB"
"2.32624542671402","distB"
"1.62718530786804","distB"
"3.52004335053267","distB"
"2.01630455874432","distB"
"0.877585449066873","distB"
"5.87201562024923","distB"
"2.99126780188038","distB"
"2.34705489070087","distB"
"1.56687601947463","distB"
"9.84560024454739","distB"
"3.98118198373294","distB"
"5.26195028529125","distB"
"2.19838653490686","distB"
"5.26813668932705","distB"
"1.6953339577453","distB"
"4.4468643784553","distB"
"2.06755688163465","distB"
"4.04760891991896","distB"
"4.06026689090058","distB"
"3.23625300649569","distB"
"2.97343386432427","distB"
"5.21214891650979","distB"
"4.69247867857119","distB"
"1.61622593065411","distB"
"1.58222551600296","distB"
"4.49250976921134","distB"
"1.97140128764303","distB"
"2.56619925723643","distB"
"2.49568571578233","distB"
"3.2618105119647","distB"
"4.33253229151986","distB"
"4.40263002082484","distB"
"2.04420705655959","distB"
"5.49152937553906","distB"
"0.807112314732149","distB"
"1.30538925554468","distB"
"4.56513361986714","distB"
"2.10754198158813","distB"
"1.79241910367494","distB"
"4.43463782383856","distB"
"2.87657581175871","distB"
"1.80546453814306","distB"
"3.06650015580906","distB"
"2.25446406855304","distB"
"1.00145882333246","distB"
"1.6217946990797","distB"
"1.80230368241271","distB"
"2.60930785257739","distB"
"3.14910864761035","distB"
