permafrost,burntime,ANPP
yes,0-10,4.70070481
yes,0-10,0.54176627
yes,0-10,0.84241842
yes,0-10,1.22579588
yes,0-10,0.5440887
yes,0-10,0.56245014
yes,20-50,5.6134201
yes,20-50,1.0861759
yes,20-50,0.9908519
yes,20-50,2.2466795
yes,20-50,0.7966937
yes,20-50,2.8401181
yes,50-75,4.752657
yes,50-75,2.487353
yes,50-75,10.705575
yes,50-75,2.460752
yes,50-75,8.206098
yes,50-75,2.181344
yes,75-100,1.1807555
yes,75-100,2.2704995
yes,75-100,3.5861759
yes,75-100,0.9547712
yes,75-100,4.1691757
yes,75-100,2.0244324
no,0-10,4.2175803
no,0-10,4.3437626
no,0-10,1.2165692
no,0-10,0.6053679
no,0-10,0.6149142
no,0-10,4.4447424
no,20-50,4.035833
no,20-50,3.897939
no,20-50,7.193501
no,20-50,2.689158
no,20-50,4.796742
no,20-50,1.586182
no,50-75,6.7219
no,50-75,17.939657
no,50-75,14.901922
no,50-75,16.384831
no,50-75,7.239425
no,50-75,11.572322
no,75-100,3.1995439
no,75-100,3.250399
no,75-100,2.8757379
no,75-100,3.9037343
no,75-100,6.0805844
no,75-100,4.9052208
