index,length (mm),width (mm),energy (kcal/g)
1,37.07796987,11.18251735,4.57412883
2,19.38248898,7.417349779,2.169676622
3,47.1445964,15.60446709,8.385841025
4,27.28732659,11.31032016,3.391208423
5,13.82564757,5.332048599,1.385657698
6,29.38012874,9.863095236,3.423185211
7,40.8067176,13.33019183,6.234781563
8,39.96488652,11.8105763,5.194458632
9,40.18606153,15.14149668,6.524559427
10,34.32603209,10.21711611,4.269115267
11,32.69192728,9.346322872,3.552319186
12,30.14122436,10.1149211,3.025857183
13,26.00697998,10.16439619,3.15607529
14,32.05445885,8.897132321,3.388056022
15,33.22711577,10.38381774,3.991885598
16,17.14067303,5.89300369,1.552123603
17,34.42914886,10.86248269,4.17770977
18,26.51349557,9.999389772,2.850640952
19,34.54372345,11.89453144,4.867978605
20,14.3285152,4.222473808,0.936470606
21,42.15080809,14.60633227,6.538088948
22,36.85645565,10.5512452,4.726882272
23,36.18457117,12.16722096,5.461391535
24,14.60899585,5.648543831,1.347620566
25,46.43641206,16.04274129,8.270491943
26,33.89490758,11.95760462,4.693771454
27,31.78738573,11.69120198,4.004605064
28,16.17917437,6.448081085,1.547258081
29,25.63237138,10.55301837,3.39393722
30,15.82550558,5.406863629,0.689890379
31,27.54852577,10.24445975,3.455676763
32,38.67654556,13.5686561,5.393575914
33,36.03533996,10.94386631,4.334527244
34,33.53104672,11.6444083,4.546715976
35,27.41192877,8.579241071,2.580382712
36,33.06984074,10.1719337,3.60935042
37,20.29551054,7.087431575,2.002275081
38,39.73954567,13.69774421,5.889620556
39,58.0955,18.43417263,11.4512693
40,26.8478749,9.647219413,3.151489788
41,32.12863428,10.82910954,3.813081268
42,24.29849861,8.249203598,2.584800556
43,39.63077193,13.78671328,6.324739354
44,26.61702464,8.685197955,2.924557079
45,33.12287608,10.06260249,3.494385702
46,25.34387573,7.828727794,3.080357395
47,13.29545698,4.661575892,0.963524487
48,46.99397049,14.60497575,6.933585242
49,16.94854826,4.817573522,1.508812228
50,37.28511889,13.84410147,5.188613196
51,17.71679403,6.713781598,1.623330588
52,44.51899662,13.74800828,6.289250029
53,26.18986763,8.351112799,2.962984068
54,32.34939115,9.681126642,3.939407987
55,7.113899021,3.697770156,0.702293355
56,42.66980681,14.85322731,6.639952792
57,32.0469749,11.06857296,4.293901354
58,12.9288763,5.446468924,1.033435885
59,41.86365245,14.29829721,5.810853962
60,38.43376372,12.01274392,5.128438304
61,30.10506025,10.57330181,3.773204245
62,33.78654484,10.71891022,4.019282529
63,35.57826547,12.65456533,5.184406374
64,40.44481283,13.49380433,6.104117436
65,36.49586629,12.34474305,5.403297271
66,21.43471559,7.735527849,2.351610022
67,21.80422304,7.788220322,2.239088004
68,44.01987199,15.14589781,7.37300058
69,39.5289482,13.52960657,6.264008046
70,26.58036506,9.321067832,3.135624935
71,31.98978875,10.32936408,3.382361298
72,14.82485324,5.01228002,1.09897919
73,30.77492745,10.13826514,3.594368141
74,7.400697603,2.862145978,1.055709824
75,22.46345093,9.441868913,2.884160914
76,20.63373015,8.540342875,2.428462083
77,38.1925949,11.54927177,4.894294611
78,36.48677912,10.14829063,4.021385456
79,17.07459634,5.952939584,1.398978003
80,20.83201954,7.058721723,2.185964255
81,33.7285163,10.90228742,4.101786572
82,17.76526345,5.144671484,1.059392211
83,28.36483066,7.716882766,2.562437108
84,17.24144659,8.276395908,1.866735857
85,44.02677044,15.68225116,6.978827974
86,29.16923804,8.550246675,2.981726017
87,29.40287702,7.497891567,2.653453366
88,43.57200026,13.70444819,6.457623832
89,22.35036686,7.474115188,2.131300602
90,36.07306456,13.61073124,4.832272872
91,36.26109384,11.7568429,4.75312443
92,33.97225374,12.04200626,4.283466144
93,35.64794439,11.87772807,4.349550082
94,42.31436944,14.1248165,6.373552187
95,54.27513759,17.15146355,10.21846351
96,44.37854556,14.61890126,6.810088426
97,23.75294409,6.885932184,2.744204969
98,25.59540555,8.934604859,2.947009203
99,19.52311575,6.334441865,1.628147951
100,37.84720734,11.79588099,5.069601659
