"plot","CO2flux","SOM","trt","fence"
1,0.6479245,40.665175,"control",1
2,1.10716075,54.053575,"control",1
3,1.11399525,64.757035,"control",1
16,1.71604,59.042395,"control",1
4,1.40619275,57.786445,"control",2
12,1.79809825,54.0628,"control",2
15,1.95451,62.475385,"control",2
18,2.0686855,56.56378,"control",2
9,1.62263925,62.34391,"control",3
13,1.8139235,75.46819,"control",3
17,2.05550875,85.432645,"control",3
19,2.1326125,92.25919,"control",3
22,2.32739275,84.11443,"control",3
8,1.545205,65.99113,"control",4
10,1.6426495,70.609795,"control",4
11,1.73279075,72.896395,"control",4
14,1.8467935,78.94315,"control",4
23,2.55637625,83.957155,"control",4
5,1.4420195,70.872565,"control",5
6,1.5931475,74.821675,"control",5
7,1.784997,74.450155,"control",5
20,2.431719,92.62372,"control",5
21,2.4700165,95.896915,"control",5
24,0.351667037287175,44.2791945,"snowfence",1
29,1.2677639877155,66.295995,"snowfence",1
30,1.88081120836283,87.40593,"snowfence",1
32,1.4420930448391,61.9855845,"snowfence",1
25,0.5768795581731,46.238298,"snowfence",2
27,1.51667276795982,66.4084635,"snowfence",2
28,1.63693216348502,69.7753005,"snowfence",2
34,1.69471553869457,72.2608245,"snowfence",2
37,2.02878994189173,78.0006705,"snowfence",2
26,0.637242751082292,46.2499425,"snowfence",3
35,1.6203626328204,68.210472,"snowfence",3
40,1.928024703873,71.544183,"snowfence",3
43,2.16020328757578,73.2610695,"snowfence",3
31,1.441811913464,64.058928,"snowfence",4
33,1.83003540580492,69.535935,"snowfence",4
38,2.17192356505148,71.9681715,"snowfence",4
41,2.40485528722987,73.867008,"snowfence",4
46,3.3305492601997,86.3465235,"snowfence",4
36,1.5893067707598,57.728418,"snowfence",5
39,1.8736536502752,62.624688,"snowfence",5
42,3.48321441418648,99.028053,"snowfence",5
44,2.71673259614257,75.839178,"snowfence",5
45,3.63817709809925,93.1741485,"snowfence",5
