"trawl","plank","fish","region"
1000,18.4,625.084348758165,"G1"
1001,31,1378.46392049658,"A2"
1002,47.9,2218.24568280809,"B6"
1003,32.9,911.571051411445,"C3"
1004,32.2,987.64033989776,"D1"
1005,35,1252.37011756767,"E7"
1006,20.8,431.295052133486,"A2"
1007,24.2,711.128041482776,"A2"
1008,36.9,1293.82233562959,"G1"
1009,34,1675.84208896995,"D1"
1010,26.8,987.418809910106,"A2"
1011,30.6,1221.49183734517,"A2"
1012,34.1,1494.42685172199,"D1"
1013,25.2,1162.9073139636,"F2"
1014,25.6,846.200431374224,"H5"
1015,29.6,869.400457861091,"A2"
1016,23,822.245422837362,"A2"
1017,16.5,183.965159290949,"E7"
1018,43.2,811.404177548206,"G1"
1019,24.2,623.507647656997,"F2"
1020,22.3,943.495143711775,"F2"
1021,42.5,1558.17535850434,"D1"
1022,31.4,1447.01994553415,"D1"
1023,17.9,543.278453259221,"H5"
1024,31.7,1114.78353682556,"B6"
1025,48.8,2632.76629320604,"A2"
1026,19.7,537.26047933624,"A2"
1027,30.6,1595.13479763702,"F2"
1028,51.8,2839.84799160228,"A2"
1029,29.9,274.837714707564,"A2"
1030,22.7,667.490825337343,"A2"
1031,16.7,643.978839571753,"C3"
1032,34.9,857.106966801596,"G1"
1033,14,256.867470551728,"A2"
1034,18.9,503.507853761997,"A2"
1035,37.9,1526.83444680775,"A2"
1036,33.5,710.077850155234,"I4"
1037,20.5,806.629468640726,"F2"
1038,21.8,498.103490267173,"F2"
1042,21.6,737.11152967551,"C3"
1043,21.1,556.35079373193,"B6"
1044,33.8,556.569401956968,"G1"
1045,19,347.810592211113,"F2"
1046,31.5,1037.09837517425,"G1"
1047,18.4,635.313552277815,"G1"
1048,27.6,460.70791483245,"A2"
1049,30.1,1431.92562182806,"D1"
1050,34.3,1653.5928732529,"D1"
1051,14.9,374.345036534024,"A2"
1052,19.3,526.998394791505,"A2"
1053,22.1,750.821906230719,"A2"
1054,22.3,570.536963237848,"A2"
1055,36.9,1768.84333177813,"C3"
1056,35.1,1085.18942480602,"D1"
1057,18.8,638.019593673235,"A2"
1058,28.2,1052.45120835848,"A2"
1059,27.9,654.120056776238,"A2"
1060,33.8,1747.52376217178,"D1"
1061,28,474.355880536072,"I4"
1062,25.5,370.300219121084,"I4"
1063,21,432.219112630013,"G1"
1064,40.7,1631.25572953374,"L3"
1065,19.3,583.755640409169,"F2"
1066,23.6,791.05038912158,"F2"
1067,34.7,1002.02463862734,"H5"
1068,17.6,394.668281799159,"A2"
1069,21.1,327.165396705201,"G1"
1071,24.7,790.325499723996,"F2"
1072,26.4,665.988025475762,"F2"
1073,18,577.855035521183,"B6"
1074,29.8,900.102054434119,"A2"
1075,23.4,867.805143121823,"H5"
1076,20.2,597.827488302716,"A2"
1077,19.4,499.282803612235,"G1"
1079,22.8,639.912962929806,"F2"
1081,27.1,325.177424399413,"I4"
1082,42.4,797.462462583429,"G1"
1084,21,691.419048104507,"A2"
1085,21.3,512.151504561414,"B6"
1086,43.9,996.362718082831,"G1"
1087,19.3,763.804663729282,"F2"
1091,22.1,920.584812625107,"F2"
1093,34.4,1565.32830791938,"D1"
1094,31.9,1779.93068419642,"C3"
1095,39.8,1459.92849163767,"B6"
1096,31.8,1371.91536865733,"F2"
1097,36.2,1199.47033303551,"A2"
1098,17.1,499.278287749125,"F2"
1099,21.3,691.014741309732,"C3"
1100,32.4,1646.02643865295,"D1"
1101,30.9,1067.25245489487,"B6"
1102,31.1,1408.56411733467,"C3"
1103,22.6,496.908757142634,"E7"
1106,22.8,682.600163004597,"C3"
1108,24.2,498.429934649113,"G1"
1109,16.6,544.590146065453,"B6"
1110,17.8,207.663629116462,"A2"
1111,19.3,671.07155211388,"A2"
1112,27,395.029685327148,"I4"
1113,30.4,1063.05551733264,"I4"
1114,21.4,562.457427885019,"C3"
1115,35.2,1331.00581759488,"A2"
1116,19.6,595.323286492218,"H5"
1118,33.1,1658.36531180831,"D1"
1119,15.5,420.489767481814,"B6"
1120,25.6,742.01041912095,"A2"
1121,20.1,565.462383888973,"F2"
1122,25.9,779.070569942662,"A2"
1123,19.4,673.576174899852,"A2"
1125,21.3,778.732753534795,"F2"
1126,20.9,675.753274124259,"C3"
1127,35.5,903.208894855014,"H5"
1128,21.9,442.471382990232,"A2"
1129,21.2,530.135377112804,"F2"
1130,17.9,472.818609607859,"F2"
1131,32.8,898.554603442611,"A2"
1132,24.9,685.03828379618,"F2"
1133,28.8,768.132813616365,"A2"
1134,14.9,199.051467937819,"B6"
1135,18,576.278383616698,"A2"
1136,40.1,894.634732112326,"L3"
1137,32.2,956.368973822675,"L3"
1138,30.3,1121.77095789615,"H5"
1139,18,641.380162168355,"C3"
1140,19.8,630.270266625969,"F2"
1141,35.2,1067.44695663403,"A2"
1142,28.2,1104.25208009267,"A2"
1143,40,1098.44515991938,"A2"
1144,32.9,1345.75539691718,"D1"
1145,19.9,462.571360765717,"A2"
1146,37.8,1317.54604379049,"E7"
1147,37.2,1210.90721353322,"G1"
1148,22,419.811054723246,"A2"
1149,38.3,1296.49626885885,"D1"
1150,19.7,564.838700819287,"D1"
1151,28.7,1328.60043631442,"F2"
1152,19.7,626.463819685753,"A2"
1153,27.8,505.94634051418,"A2"
1154,21.3,699.241877580478,"F2"
1156,27.7,417.242181022348,"A2"
1157,14.7,332.273493665756,"A2"
1158,22.3,504.376024450057,"F2"
1160,17.6,432.335550076646,"F2"
1161,19.3,254.628206869383,"H5"
1162,27.5,515.183877553942,"A2"
1163,23.7,521.048428567155,"F2"
1164,21.8,516.136253710456,"A2"
1165,28.3,438.924878761243,"A2"
1166,32.7,629.890580516206,"G1"
1167,27.5,778.553796938791,"I4"
1168,27.3,825.968826111437,"F2"
1169,23.4,674.697869830504,"A2"
1170,30.8,836.350507596319,"A2"
1172,23.2,746.714492136529,"H5"
1175,32.3,1293.54118649593,"H5"
1176,24,885.651160562432,"F2"
1177,32.9,1034.69637386902,"A2"
1178,31.6,1350.42430024855,"D1"
1180,16.6,327.065959045858,"F2"
1181,13.2,179.418959296653,"I4"
1182,20.8,563.826025028472,"F2"
1183,28.5,984.661805301645,"A2"
1184,26.9,444.101765672926,"A2"
1185,46,947.205650686047,"A2"
1186,26.7,1256.71571491523,"C3"
1187,30.4,554.368228872575,"F2"
1188,44.3,1636.47260967638,"D1"
1189,32,754.338066535664,"A2"
1190,18.2,252.426378598473,"E7"
1193,32.5,539.765474596999,"I4"
1194,24,529.650848393807,"A2"
1196,17.8,406.801271079925,"A2"
1197,18.9,465.585454989319,"H5"
1198,19.6,220.21851823008,"L3"
1199,21.5,600.26692023883,"B6"
1200,17.5,480.371454556072,"H5"
1201,24.1,448.757805009445,"H5"
1203,32.2,1092.50573923941,"H5"
1204,25.9,642.901008590379,"H5"
1205,25.6,478.334949498511,"A2"
1206,26.4,892.136375917351,"F2"
1207,18.1,603.622229253976,"F2"
1208,22.8,387.478377495018,"H5"
1209,24.8,785.398958618717,"B6"
1210,35.4,1091.09061962005,"A2"
1211,32.9,636.570677758163,"I4"
1212,23.8,810.231801631037,"A2"
1213,17.7,497.852328639587,"F2"
1214,43.2,983.612365977454,"G1"
1215,24.9,736.979193526764,"F2"
1216,35.8,949.567409541685,"H5"
1218,40.2,1396.30598557022,"H5"
1219,20.7,652.060897350384,"D1"
1220,32.8,743.825874045617,"A2"
1221,19.2,612.242114763156,"C3"
1222,21.1,660.110237129409,"A2"
1223,14,186.767943516024,"C3"
1226,24.8,950.907396855752,"F2"
1227,38.4,1052.48221603312,"H5"
1228,28.8,1159.08284206633,"F2"
1229,27,1075.95546806547,"G1"
1230,23.4,404.406605795841,"I4"
1231,30.6,932.152880605405,"A2"
1232,21.7,351.858671321543,"L3"
1233,34.8,1244.49852327163,"A2"
1234,17.1,194.095488672639,"E7"
1235,19.3,274.693335512812,"E7"
1236,21.9,201.345456384766,"D1"
1238,18.9,210.76331130593,"A2"
1240,19,187.643575612148,"E7"
1241,15.9,229.49181353913,"L3"
1242,21.6,389.278948965456,"E7"
1243,13.1,205.764522167115,"A2"
1244,30.4,862.249873034028,"G1"
1245,25.5,448.883698806602,"I4"
1246,19.9,272.428649311652,"I4"
1247,16.3,582.066874013417,"B6"
1248,19,295.766988345575,"E7"
1249,38,1182.96200207141,"L3"
1250,25.9,348.838701677271,"L3"
1252,24.1,230.805041422571,"L3"
1253,26.1,1004.85746214706,"A2"
1254,18.8,300.759100842183,"H5"
1255,27,432.267683649801,"I4"
1256,22.7,433.014125574034,"I4"
1257,36.1,1252.74755485589,"A2"
1259,18.7,152.547767254701,"G1"
1260,26.4,337.585366261842,"I4"
1261,10.6,101.369813804972,"L3"
1262,19.3,482.810836239334,"F2"
1264,29,875.514683739504,"A2"
1266,35.3,1617.52208968882,"F2"
1267,11.8,141.416779996112,"L3"
1270,14.5,210.428245136426,"G1"
1271,26.7,483.278132165008,"I4"
1273,20.8,143.805111135575,"L3"
1274,21,218.123184903902,"L3"
1275,18.1,273.501730859079,"A2"
1276,22.5,238.796295523229,"L3"
