prodn,pH,DO,Temp,TDS,depth,flow,substr,veg,cover,width,canopy,turb
32.94,8.17,6.84,6.240962793,0.19,1.138256558,99.94049383,24.70693514,4.706935138,0.758191938,1.370143434,22.71452941,2.16
126.28,7.98,5.99,7.136469302,0.18,1.098482833,138.6759695,24.45418044,4.454180441,0.751935529,1.70045324,28.79247995,2.4
64.267,8.15,6.43,6.813670211,0.2,1.130832786,62.1098495,24.49158162,4.491581619,0.772735674,1.173996543,28.67328111,1.67
165.7,8.39,8.56,9.018327502,0.18,1.144853316,167.3602376,25.08682879,5.086828786,0.769123956,0.818122983,24.89949056,6.67
144.82,8.2,8.49,7.868414944,0.18,1.115772025,126.9540264,23.47679637,3.476796368,0.754596667,1.419908292,26.18603287,6.8
21312,8.71,10.78,7.792257428,0.22,0.957819516,61.25355661,19.76886329,0.23,0.6790822,2.874864291,40.3026974,26.1
21318,8.77,11.34,7.066771779,0.22,0.951191589,70.93018553,21.22655634,1.226556344,0.687633152,2.757279684,35.65099377,35.5
21931,8.89,11.13,7.882194105,0.2,0.82902068,80.70429818,18.98612721,1.01,0.625062021,3.235466037,42.75962695,47.7
21397,8.88,11.69,6.600290948,0.21,1.016446125,131.3780652,21.45286146,1.452861464,0.710438989,1.924967965,36.63444806,52.4
61.598,8.19,6.28,6.985841703,0.15,1.108168373,155.2458939,24.17542039,4.175420389,0.759594962,1.203487964,22.45079746,7.13
96.769,8.22,6.55,7.254879059,0.18,1.135935324,79.27595582,23.94459009,3.94459009,0.753040915,1.464044812,25.18556053,7.12
150.52,8.24,6.42,6.483194508,0.15,1.06033599,80.31274457,21.31950437,1.319504367,0.740286757,1.848195236,24.52569547,8.56
178.108,8.33,7.83,7.861596145,0.16,1.195615479,135.1202656,26.54801324,6.548013239,0.788388427,0.574511836,18.57629803,7.71
4677.68,8.63,9.5,6.315836019,0.12,1.033046854,100.1062828,22.94972186,2.949721862,0.718133488,1.944479944,33.5393731,13.2
3281.72,8.31,7.81,8.012953163,0.11,1.090712366,111.6568036,23.98114982,3.981149823,0.735752232,1.511064022,28.32488997,15.6
3297.66,8.33,7.85,6.091606306,0.11,1.030153043,130.9294208,22.33319337,2.333193367,0.724184329,1.883762176,33.71167021,20.7
4740.34,8.43,8.23,8.123517829,0.11,1.056886674,87.71873948,23.03592539,3.035925392,0.730499546,2.161109021,37.264562,9.7
485.8686,7.14,4.32,8.928461362,0.03,1.140283996,95.36664061,24.63596651,4.635966505,0.767812588,0.784271996,30.25612206,3.05
2902.1382,7.01,5.88,6.6247681,0.09,1.144958648,121.8410255,25.46656971,5.466569712,0.762916456,1.709952764,33.86787443,10.1
