"","spiders","treat","plot","month","block"
"1",1,"unenclosed",1,1,"B"
"2",1,"control",2,1,"B"
"3",3,"lizard exclosure",3,1,"B"
"4",5,"unenclosed",9,1,"C"
"5",2,"control",8,1,"C"
"6",7,"lizard exclosure",4,1,"C"
"7",1,"unenclosed",7,1,"A"
"8",0,"control",6,1,"A"
"9",0,"lizard exclosure",5,1,"A"
"10",8,"unenclosed",1,2,"B"
"11",12,"control",2,2,"B"
"12",16,"lizard exclosure",3,2,"B"
"13",8,"unenclosed",9,2,"C"
"14",18,"control",8,2,"C"
"15",29,"lizard exclosure",4,2,"C"
"16",6,"unenclosed",7,2,"A"
"17",5,"control",6,2,"A"
"18",8,"lizard exclosure",5,2,"A"
"19",39,"unenclosed",1,3,"B"
"20",24,"control",2,3,"B"
"21",33,"lizard exclosure",3,3,"B"
"22",44,"unenclosed",9,3,"C"
"23",20,"control",8,3,"C"
"24",31,"lizard exclosure",4,3,"C"
"25",12,"unenclosed",7,3,"A"
"26",37,"control",6,3,"A"
"27",13,"lizard exclosure",5,3,"A"
"28",41,"unenclosed",1,4,"B"
"29",54,"control",2,4,"B"
"30",106,"lizard exclosure",3,4,"B"
"31",59,"unenclosed",9,4,"C"
"32",46,"control",8,4,"C"
"33",110,"lizard exclosure",4,4,"C"
"34",47,"unenclosed",7,4,"A"
"35",31,"control",6,4,"A"
"36",46,"lizard exclosure",5,4,"A"
"37",96,"unenclosed",1,5,"B"
"38",53,"control",2,5,"B"
"39",95,"lizard exclosure",3,5,"B"
"40",10,"unenclosed",9,5,"C"
"41",9,"control",8,5,"C"
"42",44,"lizard exclosure",4,5,"C"
"43",60,"unenclosed",7,5,"A"
"44",17,"control",6,5,"A"
"45",29,"lizard exclosure",5,5,"A"
"46",43,"unenclosed",1,6,"B"
"47",46,"control",2,6,"B"
"48",82,"lizard exclosure",3,6,"B"
"49",28,"unenclosed",9,6,"C"
"50",18,"control",8,6,"C"
"51",56,"lizard exclosure",4,6,"C"
"52",40,"unenclosed",7,6,"A"
"53",8,"control",6,6,"A"
"54",19,"lizard exclosure",5,6,"A"
"55",33,"unenclosed",1,7,"B"
"56",20,"control",2,7,"B"
"57",53,"lizard exclosure",3,7,"B"
"58",17,"unenclosed",9,7,"C"
"59",16,"control",8,7,"C"
"60",83,"lizard exclosure",4,7,"C"
"61",24,"unenclosed",7,7,"A"
"62",11,"control",6,7,"A"
"63",33,"lizard exclosure",5,7,"A"
"64",53,"unenclosed",1,8,"B"
"65",11,"control",2,8,"B"
"66",122,"lizard exclosure",3,8,"B"
"67",31,"unenclosed",9,8,"C"
"68",66,"control",8,8,"C"
"69",164,"lizard exclosure",4,8,"C"
"70",60,"unenclosed",7,8,"A"
"71",37,"control",6,8,"A"
"72",53,"lizard exclosure",5,8,"A"
"73",42,"unenclosed",1,9,"B"
"74",39,"control",2,9,"B"
"75",178,"lizard exclosure",3,9,"B"
"76",14,"unenclosed",9,9,"C"
"77",49,"control",8,9,"C"
"78",137,"lizard exclosure",4,9,"C"
"79",34,"unenclosed",7,9,"A"
"80",44,"control",6,9,"A"
"81",82,"lizard exclosure",5,9,"A"
"82",17,"unenclosed",1,10,"B"
"83",11,"control",2,10,"B"
"84",93,"lizard exclosure",3,10,"B"
"85",0,"unenclosed",9,10,"C"
"86",9,"control",8,10,"C"
"87",56,"lizard exclosure",4,10,"C"
"88",21,"unenclosed",7,10,"A"
"89",7,"control",6,10,"A"
"90",73,"lizard exclosure",5,10,"A"
"91",31,"unenclosed",1,11,"B"
"92",30,"control",2,11,"B"
"93",258,"lizard exclosure",3,11,"B"
"94",4,"unenclosed",9,11,"C"
"95",5,"control",8,11,"C"
"96",89,"lizard exclosure",4,11,"C"
"97",47,"unenclosed",7,11,"A"
"98",24,"control",6,11,"A"
"99",84,"lizard exclosure",5,11,"A"
"100",29,"unenclosed",1,12,"B"
"101",35,"control",2,12,"B"
"102",106,"lizard exclosure",3,12,"B"
"103",2,"unenclosed",9,12,"C"
"104",4,"control",8,12,"C"
"105",61,"lizard exclosure",4,12,"C"
"106",21,"unenclosed",7,12,"A"
"107",16,"control",6,12,"A"
"108",30,"lizard exclosure",5,12,"A"
"109",46,"unenclosed",1,13,"B"
"110",47,"control",2,13,"B"
"111",149,"lizard exclosure",3,13,"B"
"112",23,"unenclosed",9,13,"C"
"113",11,"control",8,13,"C"
"114",119,"lizard exclosure",4,13,"C"
"115",66,"unenclosed",7,13,"A"
"116",44,"control",6,13,"A"
"117",123,"lizard exclosure",5,13,"A"
"118",40,"unenclosed",1,14,"B"
"119",52,"control",2,14,"B"
"120",192,"lizard exclosure",3,14,"B"
"121",26,"unenclosed",9,14,"C"
"122",21,"control",8,14,"C"
"123",130,"lizard exclosure",4,14,"C"
"124",67,"unenclosed",7,14,"A"
"125",30,"control",6,14,"A"
"126",153,"lizard exclosure",5,14,"A"
"127",65,"unenclosed",1,15,"B"
"128",89,"control",2,15,"B"
"129",166,"lizard exclosure",3,15,"B"
"130",10,"unenclosed",9,15,"C"
"131",25,"control",8,15,"C"
"132",88,"lizard exclosure",4,15,"C"
"133",77,"unenclosed",7,15,"A"
"134",10,"control",6,15,"A"
"135",86,"lizard exclosure",5,15,"A"
"136",35,"unenclosed",1,16,"B"
"137",49,"control",2,16,"B"
"138",97,"lizard exclosure",3,16,"B"
"139",9,"unenclosed",9,16,"C"
"140",31,"control",8,16,"C"
"141",54,"lizard exclosure",4,16,"C"
"142",65,"unenclosed",7,16,"A"
"143",9,"control",6,16,"A"
"144",65,"lizard exclosure",5,16,"A"
"145",8,"unenclosed",1,17,"B"
"146",16,"control",2,17,"B"
"147",41,"lizard exclosure",3,17,"B"
"148",3,"unenclosed",9,17,"C"
"149",16,"control",8,17,"C"
"150",23,"lizard exclosure",4,17,"C"
"151",11,"unenclosed",7,17,"A"
"152",12,"control",6,17,"A"
"153",36,"lizard exclosure",5,17,"A"
"154",21,"unenclosed",1,18,"B"
"155",28,"control",2,18,"B"
"156",161,"lizard exclosure",3,18,"B"
"157",35,"unenclosed",9,18,"C"
"158",44,"control",8,18,"C"
"159",162,"lizard exclosure",4,18,"C"
"160",59,"unenclosed",7,18,"A"
"161",49,"control",6,18,"A"
"162",136,"lizard exclosure",5,18,"A"
"163",26,"unenclosed",1,19,"B"
"164",77,"control",2,19,"B"
"165",219,"lizard exclosure",3,19,"B"
"166",17,"unenclosed",9,19,"C"
"167",45,"control",8,19,"C"
"168",119,"lizard exclosure",4,19,"C"
"169",72,"unenclosed",7,19,"A"
"170",37,"control",6,19,"A"
"171",77,"lizard exclosure",5,19,"A"
"172",20,"unenclosed",1,20,"B"
"173",146,"control",2,20,"B"
"174",286,"lizard exclosure",3,20,"B"
"175",26,"unenclosed",9,20,"C"
"176",108,"control",8,20,"C"
"177",367,"lizard exclosure",4,20,"C"
"178",89,"unenclosed",7,20,"A"
"179",56,"control",6,20,"A"
"180",185,"lizard exclosure",5,20,"A"
"181",25,"unenclosed",1,21,"B"
"182",72,"control",2,21,"B"
"183",130,"lizard exclosure",3,21,"B"
"184",5,"unenclosed",9,21,"C"
"185",46,"control",8,21,"C"
"186",166,"lizard exclosure",4,21,"C"
"187",31,"unenclosed",7,21,"A"
"188",5,"control",6,21,"A"
"189",81,"lizard exclosure",5,21,"A"
"190",17,"unenclosed",1,22,"B"
"191",101,"control",2,22,"B"
"192",244,"lizard exclosure",3,22,"B"
"193",22,"unenclosed",9,22,"C"
"194",51,"control",8,22,"C"
"195",179,"lizard exclosure",4,22,"C"
"196",22,"unenclosed",7,22,"A"
"197",28,"control",6,22,"A"
"198",170,"lizard exclosure",5,22,"A"
"199",33,"unenclosed",1,23,"B"
"200",94,"control",2,23,"B"
"201",147,"lizard exclosure",3,23,"B"
"202",19,"unenclosed",9,23,"C"
"203",30,"control",8,23,"C"
"204",83,"lizard exclosure",4,23,"C"
"205",38,"unenclosed",7,23,"A"
"206",11,"control",6,23,"A"
"207",40,"lizard exclosure",5,23,"A"
"208",6,"unenclosed",1,24,"B"
"209",112,"control",2,24,"B"
"210",358,"lizard exclosure",3,24,"B"
"211",17,"unenclosed",9,24,"C"
"212",49,"control",8,24,"C"
"213",217,"lizard exclosure",4,24,"C"
"214",36,"unenclosed",7,24,"A"
"215",75,"control",6,24,"A"
"216",231,"lizard exclosure",5,24,"A"
