"","burnhistory","seedlings"
"1","y0-10",3
"2","y0-10",4
"3","y0-10",1
"4","y0-10",2
"5","y0-10",0
"6","y0-10",4
"7","y0-10",2
"8","y0-10",1
"9","y0-10",4
"10","y0-10",4
"11","y25-50",8
"12","y25-50",3
"13","y25-50",4
"14","y25-50",8
"15","y25-50",5
"16","y25-50",4
"17","y25-50",4
"18","y25-50",3
"19","y25-50",4
"20","y25-50",2
"21","y50-75",7
"22","y50-75",8
"23","y50-75",12
"24","y50-75",6
"25","y50-75",5
"26","y50-75",10
"27","y50-75",13
"28","y50-75",10
"29","y50-75",7
"30","y50-75",8
"31","y75",19
"32","y75",11
"33","y75",10
"34","y75",7
"35","y75",18
"36","y75",14
"37","y75",10
"38","y75",14
"39","y75",15
"40","y75",22
