NPP,treat
14.378692,no_invasive
21.661601,no_invasive
14.49253,no_invasive
9.803495,no_invasive
17.661936,no_invasive
26.424524,no_invasive
15.543058,no_invasive
9.852424,no_invasive
13.754683,no_invasive
19.428637,no_invasive
20.2706766,fox
11.8336108,fox
8.36427,fox
0.2662105,fox
5.6753548,fox
8.0455613,fox
18.6101845,fox
13.6893196,fox
8.8169531,fox
7.0025655,fox
1.0740521,rats
8.8162378,rats
1.910486,rats
2.931902,rats
6.037217,rats
7.560358,rats
4.5441869,rats
12.14539,rats
8.6200998,rats
6.0215847,rats
