nitrogentreat,fungitreat,NBI
nitrogen,fungi,4.095109
nitrogen,fungi,4.119406
nitrogen,fungi,4.987732
nitrogen,fungi,2.354689
nitrogen,fungi,5.472617
nitrogen,fungi,9.339485
nitrogen,fungi,3.409437
nitrogen,fungi,6.8831
nitrogen,fungi,6.591083
nitrogen,fungi,4.887932
nitrogen,no fungi,3.70792262
nitrogen,no fungi,2.52684313
nitrogen,no fungi,0.02386031
nitrogen,no fungi,2.81999783
nitrogen,no fungi,2.98744254
nitrogen,no fungi,3.3753785
nitrogen,no fungi,2.00697546
nitrogen,no fungi,0.35045827
nitrogen,no fungi,0.49468711
nitrogen,no fungi,2.29559554
no nitrogen,fungi,5.777222
no nitrogen,fungi,5.528582
no nitrogen,fungi,4.672953
no nitrogen,fungi,3.605935
no nitrogen,fungi,6.641043
no nitrogen,fungi,6.27
no nitrogen,fungi,2.902018
no nitrogen,fungi,2.494069
no nitrogen,fungi,4.594192
no nitrogen,fungi,5.70257
no nitrogen,no fungi,14.417764
no nitrogen,no fungi,11.043234
no nitrogen,no fungi,11.137619
no nitrogen,no fungi,9.078242
no nitrogen,no fungi,9.164208
no nitrogen,no fungi,5.372074
no nitrogen,no fungi,11.158357
no nitrogen,no fungi,11.046172
no nitrogen,no fungi,6.538778
no nitrogen,no fungi,9.925648
