Wshedarea,Annl Precip,Temprange,MAT,Runoff,NDVI,Slope,Elevation,pctForest,pctBog,pctLake,pctAg,NO3,DOC,Ndep,pctLake
103581255,776.1568627,26.9872549,4.67254902,278.66,140.2790698,9.737149855,269.1694915,0.782,0.01,0.115,0.049,165,2.4,551.37,13.39
357698616,920.8296089,25.43603352,2.198324022,461.27,134.8644068,8.154418033,671.7274939,0.789,0.049,0.052,0.023,155,1.4,554.61,13.34
586726083,1349.68942,24.37440273,-0.344880546,1245.44,115.7195876,8.365578288,1121.112426,0.125,0.022,0.154,0.003,16,2.9,477.17,36.59
42226198,781.6341463,28.10731707,3.170731707,313.57,136.1363636,9.085745107,477.7755102,0.782,0.024,0.122,0,29,7.1,595.12,2.54
38142867,908,26.83243243,0.172972973,957.14,128.5333333,5.034681071,996.744186,0.258,0.061,0.225,0,136,1.9,646.51,6.56
61296500,1757.887097,23.01935484,-1.120967742,1706.9,104.7586207,6.399798124,1321.772727,0,0.02,0.102,0,55,0.27,608.54,1.51
111818404,965.3189655,25.58448276,0.798275862,716.43,129.5333333,6.55253028,889.4920635,0.526,0.201,0.07,0.015,41,2.8,524.94,5.12
92932327,1166.714286,25.35054945,-1.468131868,816.73,116.3804348,4.340224217,1268.663636,0,0.03,0.118,0,19,0.98,366.33,2.59
848903777,686.9210836,29.66372203,-0.526383981,732.96,122.5196211,4.622316381,866.9555326,0.315,0.093,0.121,0.012,27,1.4,252.38,46.04
18184908,791.9473684,29.5,2.442105263,1045.29,137.625,4.573711761,569.952381,0.774,0.055,0.122,0.015,84,3.2,785,1.7
145814276,670.7638889,30.32847222,3.457638889,296.37,137.1477273,6.86252361,292.7261905,0.5,0.023,0.377,0.087,400,1.9,620.21,365.19
2124770094,575.5367232,30.63112053,0.33893597,431.62,126.4980334,8.233416676,724.5690722,0.609,0.104,0.036,0.014,96,2.7,452.12,47.55
140009157,803.3623188,25.49130435,6.111594203,380.84,143.7580645,1.917808018,124.5974843,0.787,0.035,0.082,0.082,300,6.1,640.76,6.2
