no fox,fox
14.378692,20.2706766
21.661601,11.8336108
14.49253,8.36427
9.803495,0.2662105
17.661936,5.6753548
26.424524,8.0455613
15.543058,18.6101845
9.852424,13.6893196
13.754683,8.8169531
19.428637,7.0025655
15.110456,1.0740521
12.696621,8.8162378
10.351836,1.910486
16.298772,2.931902
9.117555,6.037217
10.950266,7.560358
20.208919,4.5441869
20.291063,12.14539
14.872703,8.6200998
22.732188,6.0215847
15.69773,1.0916039
25.217475,13.8580494
16.716231,5.4620429
22.764469,10.5473455
13.763451,7.9581701
